what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.preferences,3.2.301.R35x_v20091117,"org.eclipse.equinox.preferences",1270036608610
started,bundle,org.eclipse.equinox.registry,3.4.100.v20090520-1800,"org.eclipse.equinox.registry",1270036608619
started,bundle,org.eclipse.equinox.security,1.0.100.v20090520-1800,"org.eclipse.equinox.security",1270036608628
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.101.R35x_v20100209,"org.eclipse.equinox.simpleconfigurator.manipulator",1270036608633
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1270036608635
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1270036608639
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1270036608642
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1270036608647
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1270036608647
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1270036608658
started,bundle,org.eclipse.jdt.launching.macosx,3.2.0.v20090527,"org.eclipse.jdt.launching.macosx",1270036608659
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1270036608676
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1270036608690
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1270036608691
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1270036608699
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1270036608706
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1270036608716
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1270036608720
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1270036608721
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1270036608733
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1270036608735
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1270036608739
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1270036608739
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1270036608744
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1270036608748
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1270036608758
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1270036608769
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1270036608778
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1270036608783
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1270036608788
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1270036608798
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1270036608799
started,bundle,org.deved.antlride.clapham,0.1.3.201003182110,"org.deved.antlride.clapham",1270036608816
started,bundle,org.deved.antlride.common.ui,2.0.1.201003182110,"org.deved.antlride.common.ui",1270036608821
started,bundle,org.deved.antlride.core,2.0.1.201003182110,"org.deved.antlride.core",1270036608821
started,bundle,org.deved.antlride.formatter,1.0.0.201003182110,"org.deved.antlride.formatter",1270036608821
started,bundle,org.deved.antlride.gunit.core,1.0.0.201003182110,"org.deved.antlride.gunit.core",1270036608821
started,bundle,org.deved.antlride.integration.jdt,2.0.1.201003182110,"org.deved.antlride.integration.jdt",1270036608821
started,bundle,org.deved.antlride.stringtemplate.core,1.0.0.201003182110,"org.deved.antlride.stringtemplate.core",1270036608821
started,bundle,org.deved.antlride.ui,2.0.1.201003182110,"org.deved.antlride.ui",1270036608826
started,bundle,org.deved.antlride.viz,2.0.1.201003182110,"org.deved.antlride.viz",1270036608826
started,bundle,org.eclipse.dltk.core,1.0.2.v20100209-1928,"org.eclipse.dltk.core",1270036608841
started,bundle,org.eclipse.dltk.formatter,1.0.1.v20090903-2153,"org.eclipse.dltk.formatter",1270036608852
started,bundle,org.eclipse.dltk.launching,1.0.1.v20090910-1601,"org.eclipse.dltk.launching",1270036608860
started,bundle,org.eclipse.dltk.ui,1.0.2.v20100209-1928,"org.eclipse.dltk.ui",1270036608860
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1270036608872
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1270036608877
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1270036608877
started,bundle,org.eclipse.mylyn.commons.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.commons.ui",1270036608899
